timestamp:,sale price
7:13:21 PM,445,7:13:21 PM445
7:13:12 PM,253,7:13:12 PM253
7:12:50 PM,"31,003","7:12:50 PM31,003"
7:12:16 PM,"15,003","7:12:16 PM15,003"
7:12:02 PM,164,7:12:02 PM164
7:11:53 PM,"6,743","7:11:53 PM6,743"
7:11:51 PM,140,7:11:51 PM140
7:11:40 PM,"53,478","7:11:40 PM53,478"
7:10:51 PM,"2,303","7:10:51 PM2,303"
7:09:29 PM,463,7:09:29 PM463
7:09:28 PM,87,7:09:28 PM87
7:09:28 PM,73,7:09:28 PM73
7:09:19 PM,96,7:09:19 PM96
7:09:09 PM,363,7:09:09 PM363
7:08:56 PM,546,7:08:56 PM546
7:08:56 PM,"1,218","7:08:56 PM1,218"
7:08:56 PM,71,7:08:56 PM71
7:24:30 PM,"1,903","7:24:30 PM1,903"
7:24:29 PM,91,7:24:29 PM91
7:24:03 PM,112,7:24:03 PM112
7:24:03 PM,72,7:24:03 PM72
7:23:06 PM,451,7:23:06 PM451
7:23:05 PM,82,7:23:05 PM82
7:22:44 PM,"20,004","7:22:44 PM20,004"
7:22:34 PM,114,7:22:34 PM114
7:22:07 PM,90,7:22:07 PM90
7:22:07 PM,40,7:22:07 PM40
7:21:36 PM,448,7:21:36 PM448
7:21:08 PM,83,7:21:08 PM83
7:20:36 PM,62,7:20:36 PM62
7:20:12 PM,550,7:20:12 PM550
7:20:10 PM,141,7:20:10 PM141
7:20:00 PM,255,7:20:00 PM255
7:18:42 PM,"13,998","7:18:42 PM13,998"
7:18:40 PM,547,7:18:40 PM547
7:18:17 PM,500,7:18:17 PM500
7:18:14 PM,88,7:18:14 PM88
7:18:14 PM,73,7:18:14 PM73
7:17:42 PM,649,7:17:42 PM649
7:17:30 PM,65,7:17:30 PM65
7:17:16 PM,378,7:17:16 PM378
7:16:43 PM,86,7:16:43 PM86
7:16:23 PM,319,7:16:23 PM319
7:16:22 PM,999,7:16:22 PM999
7:16:18 PM,240,7:16:18 PM240
7:16:17 PM,78,7:16:17 PM78
7:15:44 PM,75,7:15:44 PM75
7:15:19 PM,253,7:15:19 PM253
7:15:19 PM,73,7:15:19 PM73
7:15:12 PM,283,7:15:12 PM283
7:15:08 PM,"2,498","7:15:08 PM2,498"
7:14:21 PM,551,7:14:21 PM551
7:14:20 PM,94,7:14:20 PM94
7:14:10 PM,"2,199","7:14:10 PM2,199"
7:13:21 PM,445,7:13:21 PM445
7:13:12 PM,253,7:13:12 PM253
7:12:50 PM,"31,003","7:12:50 PM31,003"
7:12:16 PM,"15,003","7:12:16 PM15,003"
7:12:02 PM,164,7:12:02 PM164
7:11:53 PM,"6,743","7:11:53 PM6,743"
7:11:51 PM,140,7:11:51 PM140
7:11:40 PM,"53,478","7:11:40 PM53,478"
7:10:51 PM,"2,303","7:10:51 PM2,303"
7:09:29 PM,463,7:09:29 PM463
7:09:28 PM,87,7:09:28 PM87
7:09:28 PM,73,7:09:28 PM73
7:09:19 PM,96,7:09:19 PM96
7:24:30 PM,"1,903","7:24:30 PM1,903"
7:24:29 PM,91,7:24:29 PM91
7:24:03 PM,112,7:24:03 PM112
7:24:03 PM,72,7:24:03 PM72
7:23:06 PM,451,7:23:06 PM451
7:23:05 PM,82,7:23:05 PM82
7:22:44 PM,"20,004","7:22:44 PM20,004"
7:22:34 PM,114,7:22:34 PM114
7:22:07 PM,90,7:22:07 PM90
7:22:07 PM,40,7:22:07 PM40
7:21:36 PM,448,7:21:36 PM448
7:21:08 PM,83,7:21:08 PM83
7:20:36 PM,62,7:20:36 PM62
7:20:12 PM,550,7:20:12 PM550
7:20:10 PM,141,7:20:10 PM141
7:20:00 PM,255,7:20:00 PM255
7:18:42 PM,"13,998","7:18:42 PM13,998"
7:18:40 PM,547,7:18:40 PM547
7:18:17 PM,500,7:18:17 PM500
7:18:14 PM,88,7:18:14 PM88
7:18:14 PM,73,7:18:14 PM73
7:17:42 PM,649,7:17:42 PM649
7:17:30 PM,65,7:17:30 PM65
7:17:16 PM,378,7:17:16 PM378
7:16:43 PM,86,7:16:43 PM86
7:16:23 PM,319,7:16:23 PM319
7:16:22 PM,999,7:16:22 PM999
7:16:18 PM,240,7:16:18 PM240
7:16:17 PM,78,7:16:17 PM78
7:15:44 PM,75,7:15:44 PM75
7:15:19 PM,253,7:15:19 PM253
7:15:19 PM,73,7:15:19 PM73
7:15:12 PM,283,7:15:12 PM283
7:15:08 PM,"2,498","7:15:08 PM2,498"
7:14:21 PM,551,7:14:21 PM551
7:14:20 PM,94,7:14:20 PM94
7:14:10 PM,"2,199","7:14:10 PM2,199"
7:13:21 PM,445,7:13:21 PM445
7:13:12 PM,253,7:13:12 PM253
7:12:50 PM,"31,003","7:12:50 PM31,003"
7:12:16 PM,"15,003","7:12:16 PM15,003"
7:12:02 PM,164,7:12:02 PM164
7:11:53 PM,"6,743","7:11:53 PM6,743"
7:11:51 PM,140,7:11:51 PM140
7:11:40 PM,"53,478","7:11:40 PM53,478"
7:10:51 PM,"2,303","7:10:51 PM2,303"
7:09:29 PM,463,7:09:29 PM463
7:09:28 PM,87,7:09:28 PM87
7:09:28 PM,73,7:09:28 PM73
7:09:19 PM,96,7:09:19 PM96
7:26:45 PM,148,7:26:45 PM148
